Zone-1,Zone-2,Zone-3,Zone -4,Zone-5,Zone-6,Zone-7
0.411449,0.406028,0.391567,0.407843,0.431207,0.685634,0.318138
0.397732,0.390448,0.376219,0.392221,0.415455,0.675996,0.303176
0.419225,0.418415,0.363596,0.378775,0.40162,0.703001,0.323151
0.48368,0.786078,0.403302,0.420749,0.446789,0.790023,0.386547
0.715003,0.639372,0.593217,0.631856,0.696244,1.139666,0.589226
0.836781,0.901145,0.796748,0.875675,1.016724,1.245894,0.729328
1.32054,0.83806,0.744993,0.815998,0.933483,1.311237,0.80515
1.1737,1.74709,0.631808,0.66482,0.71293,1.343144,0.881504
1.35453,1.09984,0.643624,0.670077,0.70504,1.455719,0.899149
1.00803,0.70198,0.672551,0.699003,0.733561,1.31826,0.920121
1.54157,1.90977,0.653917,0.680176,0.714485,1.310159,0.910242
0.955472,0.67468,0.645315,0.673592,0.707163,1.263211,0.868411
0.926977,0.683562,0.657933,0.692165,0.719141,1.24435,0.852822
0.94049,1.17072,0.691647,0.744679,0.747264,1.294002,0.900726
1.53653,1.33792,0.902099,0.996624,0.952481,1.457837,1.046903
1.24987,1.69132,1.317658,1.45712,1.3839,1.834998,1.281304
4.94196,5.20571,1.522658,1.660818,1.64703,1.778846,1.249922
3.70817,6.11301,1.510499,1.59184,1.710672,1.651526,1.083994
1.85934,2.44614,1.403991,1.492293,1.590153,1.468719,0.932754
2.54336,4.09555,1.294028,1.37179,1.431179,1.325886,0.838238
0.820147,1.10125,1.045167,1.105745,1.155106,1.219944,0.729094
0.605838,0.823874,0.782817,0.827371,0.867365,0.938461,0.518267
0.483791,0.537471,0.513548,0.539835,0.569144,0.795105,0.39398
0.43498,0.887662,0.426298,0.445636,0.470853,0.745065,0.345108
0.405619,0.532454,0.389108,0.405384,0.428748,0.716439,0.315679
0.786914,0.389219,0.37499,0.390992,0.414226,0.705088,0.301947
0.413785,0.374667,0.361137,0.376316,0.399161,0.726292,0.320692
0.479539,0.415955,0.399613,0.41706,0.4431,0.812347,0.382858
1.0961,1.50057,0.583381,0.62202,0.686408,1.137634,0.57939
0.815392,0.881473,0.777076,0.856003,0.997052,1.237851,0.709656
2.3861,1.86003,0.873078,0.944083,1.061568,1.432274,0.933235
1.8898,1.75041,0.69888,0.731892,0.780002,1.468974,0.948576
