Zone-1,Zone-2,Zone-3,Zone-4,Zone-5,Zone-6,Zone-7
22.033274,16.523014,8.166505,8.486545,9.811699,10.711545,10.804408
22.069046,8.703109,7.54936,7.85294,8.379397,10.380578,9.075737
13.284592,11.420569,8.680799,9.029739,9.630327,9.480512,7.916435
12.739685,14.243551,12.299087,13.071867,14.236299,13.051607,10.618349
14.445306,22.869801,15.98429,17.56283,19.885941,15.361254,12.290225
18.023796,19.982717,14.877715,16.297815,18.100881,16.65175,13.361283
18.753452,21.366023,12.285727,12.945967,13.3217,17.936685,14.690045
22.602386,23.093939,12.629769,13.158829,13.421178,18.946342,15.757557
21.787829,22.813381,13.009635,13.538675,13.938774,19.880104,16.878293
26.419821,24.146722,12.729462,13.254642,13.78848,20.570569,17.626698
22.512836,18.760529,13.031605,13.597145,14.482896,20.778379,17.9055
23.762805,22.445771,13.551731,14.236371,15.102752,20.688638,17.965522
21.289868,20.08886,14.660064,15.720704,16.09042,21.555825,18.778162
24.970401,34.128811,18.117177,20.007677,19.00372,23.537389,20.442106
23.691482,51.628509,24.910631,27.699871,25.321283,27.787118,23.518484
49.510993,70.746733,29.783417,32.546617,31.910951,29.912861,24.134642
49.226363,87.546763,30.624639,32.251459,35.273788,28.890517,22.990462
57.789893,75.305525,28.291457,30.057497,32.55982,25.836922,20.784087
59.262497,71.335179,25.386151,26.941391,28.174881,22.507534,18.399215
43.928629,34.434097,20.440243,21.651803,22.715133,19.657377,16.08533
32.876534,31.745035,15.800739,16.691819,17.99393,14.306673,12.536062
18.679136,12.537082,10.738011,11.263751,12.505319,11.542246,10.481097
15.164969,12.424086,8.675816,9.062576,9.899778,9.73524,8.845921
9.478373,10.393018,7.874675,8.200195,8.778466,8.375925,7.44536
10.956941,10.530933,7.680822,8.000862,8.582521,7.494853,6.596649
9.137962,10.874812,7.470672,7.774252,8.292102,7.409003,6.502156
11.696756,10.36061,8.535716,8.884656,9.475414,8.843178,7.429522
16.15875,21.806899,12.665115,13.437895,14.767297,12.974149,10.545811
16.230954,25.548035,16.458554,18.037094,20.674621,15.214944,12.161126
26.394696,30.357324,15.695202,17.115302,17.991715,17.027613,13.765424
26.023924,23.433657,12.737444,13.397684,13.107809,18.594361,14.898303
29.178619,22.375995,12.548244,13.077304,14.220443,19.269381,16.253799
28.045163,21.714798,12.417218,12.946258,13.943596,20.252081,17.743093
28.448656,18.224051,11.854069,12.379249,12.915546,20.893279,17.893927
24.694251,20.168476,12.202314,12.767854,13.620411,20.310819,17.310009
21.294049,18.533174,12.79867,13.48331,14.296205,19.806483,17.068614
21.661224,17.788787,13.934663,14.995303,15.354572,20.71547,17.923666
21.528807,16.747684,17.437884,19.328384,18.321356,22.759121,19.675521
23.061227,23.196878,24.244862,27.034102,24.637682,27.066638,22.793085
23.972149,30.731209,29.141012,31.904212,31.255637,29.225576,23.443052
25.041979,35.50636,29.982845,31.609665,34.620315,28.221058,22.31916
27.344458,36.846421,27.671796,29.437836,31.946915,25.18837,20.13615
